star_name,Fe,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,C_Mg,O_Mg,Si_Mg,Ca_Mg,Ti_Mg,Fe_Mg,C_Si,O_Si,Mg_Si,Ca_Si,Ti_Si,Fe_Si,C_O,Si_O,Mg_O,Ca_O,Ti_O,Fe_O,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6
Gaia DR3 1585765117538284928,-0.13,-0.1,-0.09,-0.31,-0.13,-0.34,-0.13,-0.09,,-0.12,-0.14,-0.14,-0.39,,-0.18,-0.09,7.585775750291852,16.982436524617462,0.9772372209558112,0.0645654229034655,0.0025118864315095,0.831763771102671,7.762471166286927,17.378008287493763,1.0232929922807534,0.0660693448007595,0.0025703957827688,0.8511380382023759,0.4466835921509635,0.0575439937337156,0.0588843655355588,0.0038018939632056,0.0001479108388168,0.0489778819368445,0.9595478715999888,0.9659965217391304,0.9522339008980932,0.9541712131732965,0.9967167501391208,0.9972315354544316,0.9993192740738724
Gaia DR3 2007417175286304000,0.17,0.1,0.04,-0.09,0.1,0.0,0.11,0.19,,0.14,0.19,0.18,0.02,,0.13,0.3,7.079457843841388,13.489628825916537,1.000000000000002,0.072443596007499,0.0026915348039269,0.9772372209558112,7.079457843841374,13.489628825916506,0.999999999999998,0.0724435960074989,0.0026915348039269,0.9772372209558092,0.5248074602497733,0.0741310241300919,0.0741310241300917,0.0053703179637025,0.0001995262314968,0.072443596007499,0.9192652890836986,0.9438156943440298,0.9086714039011408,0.9083840815748476,0.9878113333704798,0.983546083494578,0.999319598290831
Gaia DR3 2051808789021826432,-0.07,-0.07,-0.09,-0.27,-0.07,-0.22,-0.06,-0.06,,-0.11,-0.08,-0.07,-0.22,,-0.09,0.06,7.079457843841388,14.791083881682102,1.000000000000002,0.0602559586074358,0.0022387211385683,0.8317637711026709,7.079457843841373,14.791083881682072,0.999999999999998,0.0602559586074356,0.0022387211385683,0.8317637711026692,0.478630092322638,0.0676082975391981,0.067608297539198,0.0040738027780411,0.0001513561248436,0.0562341325190347,0.9494224077940152,0.9536428452069292,0.9223151034287334,0.9064777787231628,0.9727742724518442,0.9747700357644832,0.9993058485661008
Gaia DR3 2052368955838887808,0.09,0.01,-0.1,-0.11,-0.01,-0.09,0.04,0.14,,0.04,0.09,0.04,-0.04,,0.02,0.02,7.413102413009177,12.589254117941689,1.096478196143185,0.0831763771102669,0.0027542287033381,1.0471285480508985,6.760829753919819,11.48153621496884,0.9120108393559097,0.0758577575029182,0.0025118864315095,0.954992586021435,0.5888436553555884,0.0870963589956079,0.079432823472428,0.0066069344800759,0.0002187761623949,0.0831763771102669,0.9597082852013192,0.9752389711005212,0.9858669766386936,0.9878385457222544,0.994495489359336,0.968273846796076,0.9996190268858168
Gaia DR3 2073595195312122880,0.0,-0.04,0.03,-0.27,-0.1,-0.23,-0.07,0.04,,-0.02,0.02,0.03,-0.29,,-0.09,0.12,8.128305161641011,20.892961308540364,1.0471285480508985,0.0812830516164098,0.0029512092266663,1.0471285480508985,7.762471166286943,19.95262314968879,0.9549925860214368,0.0776247116628691,0.0028183829312644,1.0,0.389045144994282,0.0501187233627272,0.0478630092322639,0.0038904514499428,0.0001412537544622,0.0501187233627272,0.9987619802751464,0.9991369470196833,0.9992922758991636,0.9993496486689004,0.9630700778642936,0.9616652983984304,0.99642434706946
Gaia DR3 2073697419836171264,-0.1,-0.13,-0.22,-0.23,-0.13,-0.23,-0.1,0.01,,-0.11,-0.11,-0.09,-0.27,,-0.13,-0.13,7.079457843841373,12.58925411794166,1.0471285480509007,0.0812830516164098,0.0025703957827688,0.891250938133746,6.760829753919805,12.022644346174106,0.9549925860214348,0.0776247116628689,0.002454708915685,0.851138038202376,0.5623413251903491,0.0831763771102672,0.0794328234724282,0.0064565422903465,0.0002041737944669,0.0707945784384138,0.983118725143922,0.9868069100027864,0.9379604442933244,0.9382383007723762,0.9984689261604844,0.9991788676724378,0.9987877962408064
Gaia DR3 2073865026641816064,0.11,0.06,0.02,-0.13,0.02,-0.09,0.03,0.14,,0.06,0.1,0.14,-0.03,,0.05,0.21,7.762471166286943,15.488166189124827,1.000000000000002,0.0776247116628691,0.0026915348039269,1.0232929922807557,7.762471166286927,15.488166189124795,0.999999999999998,0.0776247116628689,0.0026915348039269,1.0232929922807537,0.5011872336272735,0.0645654229034656,0.0645654229034655,0.0050118723362727,0.0001737800828749,0.0660693448007596,0.998162583518931,0.9993733986855295,0.9967867961384932,0.9969430645777608,0.9785453079158498,0.9757679513410442,0.9963118714190448
Gaia DR3 2076839480469187712,0.04,-0.02,-0.13,-0.16,-0.04,-0.15,0.04,0.07,,-0.02,-0.02,0.06,-0.14,,0.0,0.17,7.413102413009193,12.589254117941662,1.1748975549395304,0.0758577575029183,0.0025703957827688,1.0,6.309573444801943,10.715193052376048,0.8511380382023759,0.0645654229034655,0.0021877616239495,0.8511380382023759,0.5888436553555909,0.0933254300796992,0.0794328234724282,0.0060255958607435,0.0002041737944669,0.0794328234724282,0.94249192380528,0.962621636295296,0.9157805068502874,0.9113866711964216,0.9618576799888596,0.9507204009187722,0.9890389348999769
Gaia DR3 2077299694799977856,0.04,-0.05,-0.05,-0.19,-0.05,-0.17,0.01,0.08,,0.0,-0.02,0.05,-0.14,,-0.03,0.15,7.079457843841373,15.488166189124795,1.122018454301963,0.079432823472428,0.0027542287033381,1.0232929922807537,6.309573444801931,13.80384264602884,0.8912509381337459,0.0707945784384137,0.002454708915685,0.9120108393559097,0.4570881896148752,0.072443596007499,0.0645654229034656,0.0051286138399136,0.0001778279410038,0.0660693448007596,0.994863514247136,0.9951718380409073,0.954426252746474,0.9511041232878652,0.949135809335762,0.9928538593338628,0.9987066735644076
Gaia DR3 2077628341397525120,-0.09,-0.09,-0.03,-0.34,-0.11,-0.19,-0.1,-0.12,,-0.1,-0.1,-0.08,-0.27,,-0.11,-0.11,7.413102413009192,18.620871366628734,1.000000000000002,0.0575439937337156,0.0025118864315095,0.8709635899560815,7.413102413009176,18.62087136662869,0.999999999999998,0.0575439937337155,0.0025118864315095,0.8709635899560796,0.3981071705534969,0.0537031796370252,0.0537031796370251,0.0030902954325135,0.0001348962882591,0.0467735141287197,0.990837823913558,0.9969112183991208,0.9983990025644296,0.9984255765793878,0.943093283530084,0.9971299198885406,0.9993338861625046
