star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
2MASS 19290895+4311502,b,0.08,,-0.02,0.19,-0.06,-0.04,-0.15,0.03,0.19,,0.07,-0.08,0.09,-0.25,,0.01,0.21,292.2872878,43.1972667,392.254,-957.019,971.167,1418.77,N/A,,,,,,,6011.9,3.76,1.11,2.31,,,Gaia DR2 2125913531966017408,TIC 63211674,Transit,8.6001536,1.8e-06,-1.8e-06,0.0949,0.0018,-0.0019,0.18,,,85.51,0.52,-0.52,0.85,0.13,-0.13,1.99,0.18,-0.18,
HIP 89474,b,0.03,-2.4,0.01,0.02,-0.03,0.05,0.02,0.02,0.04,0.18,-0.01,0.02,,-0.1,0.02,0.02,-0.06,273.8852644,45.2093167,1.112,-16.38,16.538,23.3,thin,G1V,6.31,0.641,-4.5,-62.1,-22.7,5778.5,4.23,1.04,1.17,,,Gaia DR2 2115351387048328832,TIC 416117806,Radial Velocity,15.1479,0.0035,-0.0037,0.1192,0.0017,-0.0018,0.12,0.11,-0.082,,,,0.03,0.0038,-0.0037,,,,
HIP 114699,b,-0.1,-1.79,-0.01,-0.04,-0.13,0.03,0.01,-0.06,-0.01,-0.04,0.06,0.02,-0.09,-0.23,-0.02,-0.11,,348.5274498,-62.7000034,13.119,-2.663,-25.936,29.19,thin,G8V+,6.12,0.787,-65.4,-60.6,29.5,5351.0,3.99,0.92,1.97,,,Gaia DR2 6489771832811810432,TIC 394125166,Radial Velocity,5478.68860928,48.63474971,-38.25329562,5.935698,0.247933,-0.26597,0.768077,0.001537,-0.001514,90.178,9.462,-9.527,9.75299,0.86777,-0.8657,,,,
2MASS 23155829+3127462,b,0.25,-3.67,0.3,0.15,0.22,0.21,0.15,0.14,0.18,,0.22,0.32,0.05,0.02,,0.18,-0.02,348.992919,31.4628596,118.056,-22.963,73.593,141.0,N/A,,,,,,,4690.0,4.39,0.75,0.75,,,Gaia DR2 1909762228985058944,TIC 431701493,Transit,3.0927616,1.12e-05,-1.12e-05,0.03781,0.00067,-0.00047,,,,88.49,0.22,-0.17,3.15,0.13,-0.11,1.08,0.02,-0.02,11.65
2MASS 19032487+3823028,b,0.26,,0.25,0.21,0.22,0.22,0.2,0.25,0.25,,0.21,0.26,0.25,0.21,,0.29,0.21,285.8537122,38.3841139,122.28,-430.588,354.572,571.03,N/A,,,,,,,5380.5,4.4,0.93,1.0,,,Gaia DR2 2100015089629466112,TIC 120638033,Transit,29.1989838,2.414e-05,-2.414e-05,0.1757,,,,,,89.95,,,,,,,,,45.558
2MASS 19032487+3823028,c,0.26,,0.25,0.21,0.22,0.22,0.2,0.25,0.25,,0.21,0.26,0.25,0.21,,0.29,0.21,285.8537122,38.3841139,122.28,-430.588,354.572,571.03,N/A,,,,,,,5380.5,4.4,0.93,1.0,,,Gaia DR2 2100015089629466112,TIC 120638033,Transit,55.3285813,0.0004727,-0.0004727,0.2691,,,,,,89.38,,,,,,,,,44.8
2MASS 19032487+3823028,d,0.26,,0.25,0.21,0.22,0.22,0.2,0.25,0.25,,0.21,0.26,0.25,0.21,,0.29,0.21,285.8537122,38.3841139,122.28,-430.588,354.572,571.03,N/A,,,,,,,5380.5,4.4,0.93,1.0,,,Gaia DR2 2100015089629466112,TIC 120638033,Transit,160.0200597,0.0004982,-0.0004982,,,,,,,,,,,,,0.343,0.021,-0.03,
HIP 32916,b,0.35,-2.89,0.23,0.1,0.31,0.31,0.3,0.27,0.32,0.42,0.31,0.26,0.31,0.32,0.38,0.31,0.26,102.8771514,40.8677571,-7.254,31.729,28.162,43.04,thin,G0,8.1,0.729,-14.3,-25.8,1.1,5602.5,4.44,0.99,1.04,,,Gaia DR2 951427000863064192,TIC 21267079,Radial Velocity,4.94737,0.00098,-0.00098,0.06,,,0.09,0.09,-0.09,,,,0.1,0.01,-0.01,,,,
HIP 65721,b,-0.03,-1.45,0.06,-0.01,-0.13,0.07,0.01,-0.05,0.01,0.07,0.02,-0.07,-0.08,-0.17,0.05,-0.07,-0.09,202.1075341,13.7787898,-16.108,-6.543,4.264,17.9,thin,G5V,4.97,0.714,12.9,-51.4,-4.3,5531.6,3.97,0.96,1.92,,,Gaia DR2 3740176925743650688,TIC 95473936,Radial Velocity,116.688,0.0054,-0.0054,0.481,0.022,-0.022,0.3988,0.0019,-0.0019,,,,7.416,0.057,-0.057,,,,
HIP 32970,b,0.32,-0.66,0.38,0.2,0.46,0.35,0.32,0.34,0.32,0.36,0.3,0.22,0.27,0.34,0.27,0.39,0.28,103.0084347,-33.9155601,-8.646,37.424,-25.825,46.28,thin,G0/2V,7.2,0.614,-32.5,-21.4,-17.0,6043.2,4.32,1.09,1.44,,,Gaia DR2 5579783574073770112,TIC 53175558,Radial Velocity,2482.7,110.0,-110.0,3.86,0.6,-0.6,0.23,0.14,-0.14,,,,1.71,0.2,-0.2,,,,
