star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name,Exo
Gaia DR1 1193319623395940480,,-0.27,nan,nan,-0.14,nan,-0.11,-0.26,nan,-0.27,nan,-0.22,nan,nan,nan,nan,nan,nan,238.9720738423224,15.916046505307133,nan,nan,nan,310.8517614680807,N/A,nan,nan,nan,nan,nan,nan,4989.0,nan,nan,4.23178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 1311872265637358336,,-0.63,nan,-0.43,nan,nan,-0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.7436157929063,30.00237889899913,nan,nan,nan,157.94780114399657,N/A,nan,nan,nan,nan,nan,nan,4610.0,4.45911,0.73,0.833948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 1358072919603077120,,-0.68,nan,-0.46,nan,nan,-0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.44648933201734,43.44124516163052,nan,nan,nan,91.22056984485076,N/A,nan,nan,nan,nan,nan,nan,4591.0,4.63949,0.73,0.677564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 1601294340595286272,,-1.1,nan,-0.68,nan,nan,-0.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,233.72294957977573,56.173669283454934,nan,nan,nan,278.31777032026,N/A,nan,nan,nan,nan,nan,nan,6140.0,4.5259,1.16,0.973453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 2077052403463130880,,-0.19,nan,-0.16,0.29,0.66,0.3,nan,-0.1,0.07,nan,nan,-0.38,nan,-0.2,nan,-0.19,nan,296.48907082602517,41.74908960271,nan,nan,nan,371.7023004987554,N/A,nan,nan,nan,nan,nan,nan,6800.0,3.7,nan,3.09304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 2105185470039774336,,0.37,nan,0.21,0.15,0.33,0.26,0.33,0.17,0.34,nan,0.26,0.23,0.33,0.34,nan,0.39,0.23,282.3892675056035,43.28177133359541,nan,nan,nan,458.500292586945,N/A,nan,nan,nan,nan,nan,nan,4830.41,3.395,nan,4.21294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 2134680487931467648,,-0.42,nan,-0.34,nan,nan,-0.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,285.68463198990133,53.85308514266401,nan,nan,nan,287.19683012320513,N/A,nan,nan,nan,nan,nan,nan,5475.0,4.38156,0.96,1.04566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 2610649828824580096,,-0.09,nan,0.1,nan,-0.24,-0.12,-0.05,-0.06,0.01,0.08,-0.09,-0.23,-0.1,-0.3,-0.11,-0.17,nan,345.1484680969013,-7.06920494730236,nan,nan,nan,133.39527039495925,N/A,nan,nan,nan,nan,nan,nan,5775.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 2963434353708776320,,-0.12,nan,0.4,nan,nan,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.79375347428144,-23.75800933429001,nan,nan,nan,463.68757411085454,N/A,nan,nan,nan,nan,nan,nan,6000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 3909309847346094208,,-0.18,nan,-0.15,-0.08,-0.39,-0.18,-0.28,-0.18,-0.14,nan,-0.18,-0.14,-0.16,-0.4,nan,-0.2,-0.05,175.65431827634086,5.894284879319653,nan,nan,nan,197.5814935753564,N/A,nan,nan,nan,nan,nan,nan,5701.0,4.55273,1.015,0.882883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 4371256532336413056,,-0.47,nan,-0.27,nan,nan,-0.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,266.8264763381352,-0.5934683194717618,nan,nan,nan,131.55605036224247,N/A,nan,nan,nan,nan,nan,nan,4878.0,4.1554,0.796,1.23535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 439363300271658240,,-0.49,nan,nan,-0.24,nan,-0.29,-0.34,nan,-0.45,nan,-0.3,nan,nan,nan,nan,nan,nan,46.11388527125493,50.17254713154348,nan,nan,nan,263.02471067126544,N/A,nan,nan,nan,nan,nan,nan,4781.0,2.82,nan,8.59993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 4548562265603840768,,-0.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.64,nan,nan,nan,nan,nan,nan,258.9588124615001,19.000020096828074,nan,nan,nan,13.674734498653535,N/A,nan,nan,nan,nan,nan,nan,3744.0,4.75524,0.47762,0.479682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 4684860888081427840,,-0.28,nan,0.0,nan,nan,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.889012301897493,-74.17977605855391,nan,nan,nan,175.20913634141465,N/A,nan,nan,nan,nan,nan,nan,5246.53,4.62598,0.9,0.764127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 5791382177358811264,,-0.26,nan,0.03,nan,nan,-0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,206.42725227879342,-73.93251111218032,nan,nan,nan,160.51626928734106,N/A,nan,nan,nan,nan,nan,nan,4964.33,4.70187,0.82,0.66835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 5843372481600065792,,-0.25,nan,0.3,nan,nan,-0.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,190.06540183314237,-70.20708293723915,nan,nan,nan,221.82599411028139,N/A,nan,nan,nan,nan,nan,nan,5062.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR1 6847769859582520320,,-0.84,nan,-0.36,nan,nan,-0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,307.18935267286724,-26.63583930273514,nan,nan,nan,180.595010512386,N/A,nan,nan,nan,nan,nan,nan,5953.0,4.22664,1.09,1.33176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
