HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
88048,-39.65146,17.72208722,15.78353793,1, Radial Velocity,2,27,3.04,0.17,-2.85,-0.15,0.03,0.51,0.27,0.28,0.28,0.1,0.07,0.18,0.15,0.08,0.37,0.24,0.17,0.22
94576,112.7155421,-37.03469393,56.49058862,1, Radial Velocity,1,22,2.6,0.26,nan,0.07,0.04,0.71,0.33,0.41,0.28,0.24,0.34,0.28,0.26,0.2,0.68,0.36,0.24,-0.18
34693,21.64908485,31.64560263,-90.64983362,1, Radial Velocity,1,20.6,2.3,0.18,-3.67,-0.05,0.15,0.45,0.44,0.26,0.36,-0.02,nan,0.14,0.06,0.21,0.34,0.41,0.21,0.2
60202,-43.03233027,7.582376059,-77.40775603,1, Radial Velocity,1,19.4,2.7,-0.27,-2.86,-0.41,-0.16,-0.07,-0.21,-0.1,-0.1,-0.24,-0.3,-0.28,-0.46,-0.31,-0.47,-0.25,-0.31,-0.32
111928,63.94258359,64.60524696,35.43518071,1, Radial Velocity,1,19.2,1.22,0.14,nan,0.12,0.08,-0.02,0.03,-0.06,0.07,0.17,nan,0.08,0,0.1,-0.05,nan,0.13,0.21
73408,-6.328340856,14.91351689,53.89222568,1, Radial Velocity,1,18.15,1.1,0.32,-1.14,0.36,0.2,0.37,0.34,0.31,0.33,0.34,0.45,0.35,0.35,0.34,0.26,0.39,0.39,nan
115100,-39.56280393,-58.7262659,-14.63734044,1, Radial Velocity,2,15.1,1.23,0.2,-1.01,0.19,0.13,0.16,0.23,0.22,0.18,0.21,0.28,0.18,0.14,0.14,0.09,0.25,0.2,0.17
5158,25.68863229,26.45211121,18.34883862,1, Radial Velocity,2,15.04,0.78,0.2,nan,0.14,nan,0.49,0.22,0.4,0.18,0.29,0.78,0.47,0.78,0.21,0.09,0.4,0.28,nan
87330,20.69179613,14.90933768,-14.68440441,1, Radial Velocity,1,14.4,0.75,0.05,nan,-0.16,nan,-0.09,-0.11,-0.05,-0.08,-0.05,0.15,0.14,0.31,-0.05,-0.22,-0.01,-0.1,nan
6702,32.38119416,-15.8516982,-0.807278053,1, Radial Velocity,1,14.2,0,0.19,-1.43,nan,nan,0.51,0.14,0.54,0.28,0.28,0.98,0.3,0.44,0.56,0.07,0.61,0.18,0.68
27253,3.832077392,-14.89181268,36.14215287,1, Radial Velocity,2,13.38,1.48,0.41,-2.77,0.38,0.31,0.41,0.44,0.4,0.36,0.32,0.38,0.35,0.35,0.31,0.45,0.44,0.4,0.42
113834,48.79140857,10.35938226,-22.82789201,1, Radial Velocity,1,13,1.02,-0.13,-1.12,-0.01,-0.22,-0.04,-0.02,0.06,-0.1,-0.04,-0.12,-0.03,-0.14,-0.13,-0.3,-0.06,-0.11,nan
49522,36.67733547,43.79658083,-80.62806256,1, Radial Velocity,1,12.4,1.12,0.35,nan,nan,nan,0.59,0.24,0.36,0.3,0.41,nan,0.53,0.45,0.53,0.37,0.33,0.35,0.64
61740,-3.198008808,-12.28646872,-89.10912226,1, Radial Velocity,1,11.09,2.17,0.37,-3.12,0.18,0.12,0.66,0.3,0.59,0.57,0.24,0.48,0.37,0.53,0.25,0.81,0.46,0.4,0.06
59625,-31.17310281,-78.60149182,7.502980176,1, Radial Velocity,1,11,1.32,0.06,nan,-0.05,-0.03,-0.17,-0.01,-0.1,-0.07,0.09,nan,0.03,-0.02,0.04,-0.11,nan,0.05,0.29
27384,-23.46550377,34.08636812,-80.75878666,1, Radial Velocity,1,10.7,1.36,0.34,nan,0.17,0.08,0.28,0.24,0.23,0.23,0.24,0.35,0.29,0.34,0.27,0.3,0.43,0.32,0.31
84856,-34.57780441,24.10919975,-22.15165063,1, Radial Velocity,1,10.57,1.35,0.23,-2.21,0.22,0.17,0.2,0.24,0.2,0.2,0.27,0.33,0.23,0.15,0.2,0.11,0.27,0.21,0.33
74793,110.6329886,-6.84108212,51.20528533,1, Radial Velocity,1,10.5,1.8,0.05,nan,0.37,-0.02,0.08,0.14,0.19,0.22,-0.22,0.13,0.19,0.31,-0.04,0.3,0.26,0.07,nan
114699,-28.55870667,5.547826873,3.88880251,1, Radial Velocity,1,10.39,1.05,-0.12,-1.79,-0.1,-0.1,-0.14,0.02,0.05,-0.06,-0.02,-0.04,0.06,0.02,-0.09,-0.25,-0.02,-0.11,nan
103527,-10.55393837,-5.083998132,-74.38439887,1, Radial Velocity,1,10.3,2.3,0.09,-2.67,-0.22,-0.02,0.15,0.13,0.12,0.11,0.12,0.03,0.16,0.05,0.07,0.08,0.09,0.06,0.17
26394,-5.561517677,3.306323305,17.1341076,1, Radial Velocity,1,10.27,1.1,0.1,-0.94,0.18,0.05,0.13,0.16,0.05,0.1,0.12,0.18,0.11,0.08,0.09,-0.04,0.1,0.13,0.13
12184,1.072522676,36.07048705,-19.00067216,1, Radial Velocity,1,9.88,1.16,0.26,nan,nan,nan,0.3,nan,0.09,0.29,0.51,0.76,0.62,0.63,1.01,0.23,0.61,0.39,0.37
76311,-23.53206763,-100.0152597,-58.15702657,1, Radial Velocity,1,9.76,1.35,0.37,-3.13,0.09,0.06,0.5,0.44,0.5,0.5,0.33,0.45,0.34,0.49,0.29,0.75,0.51,0.38,0.28
84171,28.08792061,14.84104518,18.18262597,1, Radial Velocity,1,9.71,0.93,0.13,nan,0.1,0.03,0.06,0.11,0.08,0.12,0.13,nan,0.11,0.15,0.12,0.07,nan,0.16,0.09
59743,0.102757339,19.77417732,-29.10430067,1, Radial Velocity,1,9.61,0.97,0.09,nan,0.08,nan,0.09,0.12,0.2,0.12,0.11,nan,0.16,0.19,nan,nan,0.12,0.14,nan
77740,22.84651281,-18.78612395,12.97658303,1, Radial Velocity,1,9.316,1.03,0.14,-0.98,0.19,0.02,0.06,0.13,0.1,0.11,0.17,0.17,0.15,0.12,0.12,0.01,0.18,0.13,0.15
25110,-8.138512054,13.88617951,-13.30957257,1, Radial Velocity,1,9.1,1.25,0.22,-1.11,0.01,nan,0.19,0.19,0.15,0.17,0.29,0.55,0.22,0.25,0.12,0.03,0.54,0.18,0.29
75458,-7.428767397,22.02004364,20.55736894,1, Radial Velocity,1,8.82,1.05,0.22,-2.9,0.08,0.21,0.33,0.26,0.36,0.33,0.08,0.21,0.21,0.33,0.09,0.47,0.4,0.19,-0.05
50583,-10.77026554,-18.96448879,33.39800948,1, Radial Velocity,1,8.78,1.23,-0.32,-3.9,-0.65,-0.48,-0.24,-0.13,-0.1,-0.22,-0.4,-0.19,-0.33,-0.18,-0.39,-0.62,-0.25,-0.42,-0.54
50786,-1.297114238,36.46065556,-14.96110445,1, Radial Velocity,1,8.44,1.56,0.26,-1.23,0.25,0.18,0.24,0.3,0.18,0.23,0.22,0.33,0.25,0.12,0.2,0.07,0.24,0.22,0.33
58952,3.798673503,-4.796407054,96.89439432,1, Radial Velocity,1,8.3,0,-0.27,-3.31,-0.09,-0.01,-0.25,0.07,0.02,-0.01,-0.19,-0.16,-0.07,-0.16,-0.31,-0.48,0.02,-0.24,-0.33
105854,32.57112764,73.23956079,-10.50305799,1, Radial Velocity,1,8.2,2.1,0.49,nan,nan,nan,0.64,0.39,0.51,0.53,0.39,0.43,0.32,0.71,0.29,0.5,0.6,0.38,nan
21850,1.083411984,5.093451606,-52.56891254,1, Radial Velocity,2,8.08,0.99,0.42,nan,0.44,0.28,0.48,0.35,0.36,0.4,0.25,0.47,0.37,0.52,0.33,0.4,0.56,0.42,nan
42723,-1.947238056,8.372237304,-63.85705965,1, Radial Velocity,2,8.06,1.24,0.17,-0.7,0.19,0.13,0.13,0.13,0.09,0.11,0.14,0.28,0.16,0.04,0.1,0.02,0.19,0.15,0.18
116906,-35.69197963,-17.91054869,12.25231256,1, Radial Velocity,1,7.75,0.99,0.05,-2.39,0.04,-0.02,-0.03,0.09,0.04,0.01,0.04,0.13,0.05,0.03,-0.01,-0.11,0.12,0,-0.05
17747,-43.18523671,-21.00587647,15.38949531,1, Radial Velocity,1,7.71,1.16,0.32,-0.48,0.34,0.11,0.37,0.25,0.23,0.27,0.28,0.41,0.27,0.24,0.27,0.24,0.36,0.34,0.31
89844,-4.680766802,36.5849042,6.346419247,1, Radial Velocity,2,7.659,0.99,0.12,-2.59,0.21,0.11,0.03,0.24,0.21,0.11,0.1,0.27,0.18,0.07,0.05,-0.12,0.2,0.1,0.03
20889,-16.18095924,-39.32492298,14.61132692,1, Radial Velocity,1,7.6,2.7,0.21,-2.45,-0.01,0.06,0.42,0.21,0.27,0.28,0.14,0.1,0.19,0.15,0.15,0.21,0.24,0.2,0.18
65721,3.147940416,5.439811943,16.85173993,1, Radial Velocity,1,7.4,1.09,-0.02,-1.45,0.01,-0.03,-0.13,0.07,0.01,-0.05,0,0.07,0.02,-0.07,-0.09,-0.17,0.02,-0.08,-0.09
70123,-0.262216546,10.90300013,53.09194463,1, Radial Velocity,3,7.2,1.09,0.25,-0.78,0.14,0.12,0.14,0.25,0.23,0.23,0.28,0.37,0.3,0.22,0.22,0.13,0.33,0.26,0.29
42527,-1.857711818,-5.561995891,78.27358465,1, Radial Velocity,1,7.1,1.23,-0.12,-2.71,-0.25,-0.12,-0.07,-0.01,0.04,-0.03,-0.16,-0.07,-0.1,-0.11,-0.2,-0.17,-0.01,-0.11,-0.1
48780,-1.039183941,67.5688215,12.78608127,1, Radial Velocity,1,7,0,0.22,-2.41,nan,nan,0.21,nan,nan,0.21,nan,nan,0.26,nan,nan,nan,nan,0.23,nan
36616,-18.34432036,2.693537385,-95.10883521,1, Radial Velocity,1,6.92,1.9,0.22,-3.31,-0.03,0.08,0.3,0.2,0.32,0.28,0.1,0.12,0.2,0.33,0.08,0.37,0.33,0.22,0.18
59610,-12.26216848,-28.19173782,-21.83374573,1, Radial Velocity,1,6.92,1.01,0,-1.61,0.03,-0.04,-0.1,0.02,-0.07,-0.07,-0.05,0.06,-0.04,-0.12,-0.11,-0.23,0,-0.08,-0.05
102125,-36.85405998,24.43158762,2.115720742,1, Radial Velocity,1,6.9,1.29,0.24,-0.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46076,-1.687961559,0.76410687,33.06070273,1, Radial Velocity,1,6.86,0.96,0,-1.42,nan,-0.02,-0.19,-0.02,-0.13,-0.09,0.02,0.03,0,-0.12,-0.05,-0.05,-0.02,-0.12,0.13
