name|simbad
11 com|* 11 com
11 umi|* 11 umi
14 and|* 14 and
14 her|* 14 her
16 cyg b|* 16 cyg b
17 sco|* 17 sco
18 del|* 18 del
1rxs j160929.1-210524|RX J1609.5-2105
24 boo|* 24 boo
24 sex|* 24 sex
2m0437|2MASS J04372171+2651014
2massi j0840424+193357|2MASS J08404248+1933576
30 ari b|* 30 ari b
4 uma|* 4 uma
42 dra|* 42 dra
47 uma|* 47 uma
51 eri|* 51 eri
51 peg|* 51 peg
55 cnc|* 55 cnc
6 lyn|* 6 lyn
61 vir|* 61 vir
7 cma|* 7 cma
70 vir|* 70 vir
75 cet|* 75 cet
8 umi|* 8 umi
81 cet|* 81 cet
91 aqr|* 91 aqr
ab aur|V* AB AUR
ab pic|V* AB PIC
alf ari|* alf ari
alf tau|* alf tau
au mic|V* AU Mic
b cen a|HIP 71865
bet cnc|* bet cnc
bet pic|* bet pic
bet umi|* bet umi
cd cet|V* CD Cet
cfbdsir j145829+101343|NAME CFBDSIR J145829+101343
ci tau|V* CI TAU
ct cha|V* CT CHA
de cvn|V* DE CVN
denis-p j082303.1-491201|DENIS J082303.1-491201
dh tau|V* DH TAU
dp leo|V* DP LEO
ds tuc a|HD 222259A
eps crb|* eps crb
eps eri|* eps eri
eps ind a|* eps Ind
eps tau|* eps tau
fomalhaut|NAME Fomalhaut
fu tau|V* FU TAU
gam 1 leo|* gam01 Leo
gam cep|* gam cep
gam lib|* gam lib
gam psc|* gam psc
gam1 leo|* gam01 Leo
gj 160.2|GJ 9144
gj 27.1|GJ 9018
gj 3021|GJ 3021A
gj 687|GJ 687b
gj 86|GJ 86a
gj 876|GJ 876A
gq lup|V* GQ LUP
gu psc|V* GU PSC
hats-47|Gaia DR2 6658373007402886400
hats-48 a|NAME HATS-48A
hats-58 a|NAME HATS-58A
hd 100655 a|HD 100655
hd 101930 a|HD 101930
hd 109749|HD 109749A
hd 114762|HD 114762A
hd 11964|HD 11964A
hd 125612|HD 125612A
hd 126614|HD 126614A
hd 142|HD 142A
hd 196885|HD 196885A
hd 203030|HD 203030A
hd 212301|HD 212301A
hd 233832|HD 233832A
hd 27442|HD 27442A
hd 28254|HD 28254A
hd 46375|HD 46375A
hd 59686 a|HD 59686
hip 116748 a|HD 222259A
hip 27922 a|HIP 27922
hip 28393 a|HD 41004A
hip 28393 b|HD 41004B
hip 49522 a|HIP 49522
hip 50583 a|HD 89484
hip 51260 a|BD+26 2091A
hip 55486 a|HD 98736
hip 59743 a|HD 106545A
hip 61595 a|HD 109749A
hip 73261 a|HD 132563A
hip 73674 a|HD 133131 A
hip 73674 b|HD 133131B
hip 79098 ab|HIP 79098
hn peg|V* HN PEG
hr 8799|HR 8799A
hu aqr|V* HU AQR
hw vir|V* HW VIR
iot dra|* iot dra
kap and|* kap and
kap crb|* kap crb
kapteyn|NAME Kapteyns star
kelt-19 a|KELT-19
kps-1|NAME KPS-1
ltt 01445 a|BD-17 588A
mu 2 sco|HIP 82545
mu leo|* 24 Leo
mu2 sco|* mu.02 Sco
mxb 1658-298|V* V2134 Oph
ngc 2682 sand 364|Cl* NGC 2682 Sand 364
ngc 2682 sand 978|CL* NGC 2682 Sand 978
ngc 2682 ybp 1194|Cl* NGC 2682 YBP 1194
ngc 2682 ybp 1514|Cl* NGC 2682 YBP 1514
ngc 2682 ybp 401|Cl* NGC 2682 YBP 401
ngts-3 a|NGTS-3
ngts-8|2MASS J21555419-1404062
nn ser|V* NN SER
nu oct a|* nu Oct
nu oph|* nu. Oph
ny vir|V* NY VIR
ogle-2013-blg-0341l b|NAME OGLE-2013-BLG-0341Lb
ogle-tr-056|OGLE-TR 56
ogle2-tr-l9|NAME OGLE2-TR-L9
ome ser|* ome ser
omi crb|* omi crb
omi uma|* omi uma
oph 11|Name Oph 11
pr0201|BD+20 2184
pr0211|NAME Pr 0211
proxima cen|NAME Proxima Cen
psi 1 dra b|* psi01 Dra B
psi1 dra b|* psi01 Dra B
psr b1257+12|PSR J1300+1240
psr b1620-26|PSR J1623-2631
psr j1719-1438|PSR J1719-14
rho crb|* rho crb
rr cae|V* RR CAE
sr 12 ab|EM* SR 12
tau boo|* tau boo
tau cet|* tau cet
tau gem|* tau gem
teegarden's star|NAME Teegarden's Star
ups and|* ups and
ups leo|* ups leo
usco ctio 108|UScoCTIO 108
uz for|V* UZ FOR
v0391 peg|V* V391 Peg
v1298 tau|V* V1298 TAU
v830 tau|V* V830 TAU
wasp-65|TYC 811-184-1
wasp-70 a|HD 358155
xi aql|* ksi Aql
xo-2 n|XO-2N
xo-2 s|XO-2S
yz cet|V* YZ CET
