hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
"OGLE-TR-10","b","Gaia DR2 4056443366649948160","TIC 130150682","Transit",3.10127800,,,0.043400,0.001300,-0.001500,,,,90.000,0.000,-3.900,0.62000,0.14000,-0.14000,1.250,0.140,-0.120,
"BD-08 2823","b","Gaia DR2 3770419611540574080","TIC 33355302","Radial Velocity",5.60000000,0.02000000,-0.02000000,0.056000,0.002000,-0.002000,0.150000,0.150000,-0.150000,,,,0.04500,0.00700,-0.00700,,,,
"BD-08 2823","c","Gaia DR2 3770419611540574080","TIC 33355302","Radial Velocity",237.60000000,1.50000000,-1.50000000,0.680000,0.020000,-0.020000,0.190000,0.090000,-0.090000,,,,0.33000,0.03000,-0.03000,,,,
"HR 8799","c","Gaia DR2 2832463659640297472","TIC 245368902","Imaging",69000.00000000,,,38.000000,,,,,,,,,10.00000,3.00000,-3.00000,1.200,0.100,0.000,
"HD 104985","b","Gaia DR2 1693159194226600192","TIC 160224839","Radial Velocity",198.20000000,0.30000000,-0.30000000,0.780000,,,0.030000,0.020000,-0.020000,,,,6.30000,,,,,,
"4 UMa","b","Gaia DR2 1092230803510960640","TIC 356478817","Radial Velocity",269.30000000,1.96000000,-1.96000000,0.870000,0.040000,-0.040000,0.432000,0.024000,-0.024000,,,,7.10000,1.60000,-1.60000,,,,
"HD 104985","b","Gaia DR2 1693159194226600192","TIC 160224839","Radial Velocity",199.50500000,0.08500000,-0.08500000,0.950000,,,0.090000,0.009000,-0.009000,,,,8.30000,,,,,,
"kap CrB","b","Gaia DR2 1372702716380418688","TIC 334753043","Radial Velocity",1261.94000000,28.91000000,-23.97000000,2.800000,0.070000,-0.080000,0.044000,,,60.000,,,2.00000,,,,,,
"kap CrB","b","Gaia DR2 1372702716380418688","TIC 334753043","Radial Velocity",1251.00000000,15.00000000,-15.00000000,2.600000,,,0.073000,0.049000,-0.049000,60.000,,,1.86000,,,,,,
"kap CrB","b","Gaia DR2 1372702716380418688","TIC 334753043","Radial Velocity",1300.00000000,15.00000000,-15.00000000,2.800000,0.100000,-0.100000,0.125000,0.049000,-0.049000,60.000,,,2.17000,,,,,,
"14 And","b","Gaia DR2 1920113512486282240","TIC 333225860","Radial Velocity",,,,0.680000,0.030000,-0.060000,,,,,,,3.20000,0.40000,-0.60000,,,,
"18 Del","b","Gaia DR2 1756741374681702784","TIC 354489950","Radial Velocity",,,,2.540000,0.040000,-0.040000,,,,,,,9.84000,0.30000,-0.30000,,,,
"81 Cet","b","Gaia DR2 2495420602212048640","TIC 35725282","Radial Velocity",,,,2.170000,0.170000,-0.090000,,,,,,,4.01000,0.60000,-0.30000,,,,
