HIP,Sampled,Predicted,Prob
101806,2880.0,2880.0,1.0
116823,2846.0,2846.0,1.0
81347,2861.0,2861.0,1.0
20489,2863.0,2863.0,1.0
111978,2856.0,2856.0,1.0
47007,2879.0,2879.0,1.0
68936,2844.0,2844.0,1.0
62345,2882.0,2882.0,1.0
24110,2878.0,2878.0,1.0
71803,2877.0,2877.0,1.0
10278,2876.0,2875.0,0.999652294854
58576,2860.0,2859.0,0.99965034965
1803,2873.0,2871.0,0.999303863557
76375,2872.0,2870.0,0.99930362117
93889,2870.0,2868.0,0.999303135889
71681,2869.0,2867.0,0.999302892994
20800,2857.0,2855.0,0.999299964998
117427,2882.0,2879.0,0.998959056211
105606,2878.0,2875.0,0.998957609451
65530,2878.0,2875.0,0.998957609451
42011,2876.0,2873.0,0.998956884562
51258,2870.0,2867.0,0.998954703833
101399,2868.0,2865.0,0.998953974895
105521,2865.0,2862.0,0.998952879581
41226,2844.0,2841.0,0.998945147679
21731,2893.0,2889.0,0.99861735223
8398,2866.0,2862.0,0.998604326588
41479,2863.0,2859.0,0.998602864129
70027,2877.0,2872.0,0.998262078554
92742,2876.0,2871.0,0.99826147427
37171,2874.0,2869.0,0.99826026444
51257,2872.0,2866.0,0.99791086351
13642,2856.0,2850.0,0.997899159664
69881,2849.0,2843.0,0.997893997894
7539,2883.0,2876.0,0.997571973639
105483,2878.0,2871.0,0.997567755386
42634,2862.0,2855.0,0.997554157932
39298,2875.0,2867.0,0.997217391304
110161,2859.0,2851.0,0.997201818818
61379,2850.0,2842.0,0.997192982456
64475,2881.0,2872.0,0.996876084693
61743,2879.0,2870.0,0.996873914554
7080,2874.0,2865.0,0.996868475992
117526,2872.0,2863.0,0.996866295265
11924,2861.0,2852.0,0.996854246767
9269,2858.0,2849.0,0.996850944717
55846,2852.0,2843.0,0.996844319776
44137,2895.0,2885.0,0.996545768566
98589,2877.0,2867.0,0.996524157108
117411,2873.0,2863.0,0.996519317786
71683,2868.0,2858.0,0.996513249651
74653,2890.0,2879.0,0.996193771626
59646,2854.0,2843.0,0.996145760336
70616,2855.0,2843.0,0.995796847636
26834,2872.0,2859.0,0.995473537604
110843,2876.0,2862.0,0.995132127955
20741,2873.0,2859.0,0.995127044901
30243,2869.0,2854.0,0.994771697456
49081,2866.0,2851.0,0.994766224703
42291,2868.0,2852.0,0.994421199442
39242,2862.0,2846.0,0.994409503843
24176,2858.0,2842.0,0.994401679496
14721,2880.0,2863.0,0.994097222222
87116,2885.0,2866.0,0.993414211438
83541,2881.0,2861.0,0.993057965984
75253,2874.0,2854.0,0.993041057759
11433,2873.0,2853.0,0.993038635573
110028,2868.0,2848.0,0.993026499303
9353,2868.0,2848.0,0.993026499303
7276,2865.0,2845.0,0.993019197208
93547,2864.0,2844.0,0.993016759777
65036,2873.0,2852.0,0.992690567351
116519,2858.0,2837.0,0.992652204339
27896,2870.0,2847.0,0.991986062718
99240,2866.0,2843.0,0.991974877879
81269,2861.0,2837.0,0.991611324712
23311,2896.0,2871.0,0.991367403315
116250,2855.0,2830.0,0.991243432574
6456,2884.0,2858.0,0.990984743412
83181,2874.0,2848.0,0.990953375087
31965,2859.0,2833.0,0.990905911158
37279,2855.0,2829.0,0.990893169877
117541,2881.0,2854.0,0.990628254078
84636,2875.0,2848.0,0.990608695652
51579,2861.0,2833.0,0.990213212164
106093,2858.0,2830.0,0.990202939118
67927,2850.0,2822.0,0.990175438596
95319,2875.0,2846.0,0.989913043478
113948,2863.0,2834.0,0.989870764932
46360,2876.0,2846.0,0.989568845619
77358,2873.0,2843.0,0.989557953359
47080,2871.0,2841.0,0.989550679206
105502,2868.0,2838.0,0.989539748954
53882,2850.0,2820.0,0.989473684211
53818,2879.0,2848.0,0.989232372352
10531,2875.0,2844.0,0.989217391304
102815,2874.0,2843.0,0.989213639527
29271,2872.0,2841.0,0.989206128134
99316,2889.0,2857.0,0.988923502942
729,2877.0,2845.0,0.988877302746
100022,2875.0,2842.0,0.98852173913
85969,2863.0,2830.0,0.98847362906
114477,2864.0,2830.0,0.98812849162
102532,2878.0,2843.0,0.987838776928
78955,2878.0,2843.0,0.987838776928
40761,2865.0,2830.0,0.987783595113
103682,2875.0,2839.0,0.98747826087
114456,2889.0,2852.0,0.987192800277
54287,2875.0,2836.0,0.986434782609
77641,2874.0,2835.0,0.98643006263
48351,2858.0,2819.0,0.986354093772
7404,2889.0,2849.0,0.986154378678
38216,2883.0,2843.0,0.986125563649
109355,2878.0,2838.0,0.986101459347
60370,2846.0,2806.0,0.985945186226
17486,2867.0,2825.0,0.985350540635
89826,2854.0,2812.0,0.985283812193
21923,2870.0,2823.0,0.98362369338
98210,2853.0,2806.0,0.983526112864
86974,2851.0,2804.0,0.983514556296
16460,2894.0,2846.0,0.983413959917
102753,2876.0,2828.0,0.98331015299
59639,2879.0,2830.0,0.982980201459
2926,2842.0,2793.0,0.98275862069
108950,2864.0,2813.0,0.98219273743
44713,2851.0,2800.0,0.982111539811
99913,2873.0,2821.0,0.981900452489
